name,numDownloadsMin,fileSize,price,aggregateRating,ratingCount
??? ??,10000,"5,2M",0,4.05882358551025,153
?????????. ?????. Lite,50000,"5,7M",0,3.59649133682251,285
Skyrim Alchemy Shared Effects,10000,36k,0,4.4391303062439,230
Concentration,10000,"1,0M",0,3.86842107772827,38
Coin Matcher - Puzzle,10000,"5,1M",0,3.85135126113892,148
Bouncers Adventures,10000,34M,0,3.82697200775146,393
Check! (Nonogram),10000,495k,0,3.69642853736877,224
IP Cam Soft,1000,"5,3M",2.87,3.70454549789429,44
Depri-Horst Deluxe,500,58M,1.55,4.328125,64
Fightback,10000,"1,4M",0,3.75,212
Math Pro,1000,"5,0M",1.52,4.16666650772095,30
DELIGHTFUL HUNDE,10000,"2,2M",0,4,56
aHome Theme: Reflect (Blue),10000,502k,0,3.88079476356506,154
Rising Empires,10000,"2,7M",0,3.6715977191925,676
???R,10000,"7,5M",0,3.76023387908936,171
Zen Breath Meditation,10000,765k,0,3.59999990463257,165
Big Fat Goalie (Free),10000,10M,0,3.46511626243591,86
Amüsant MONKEYS,10000,"2,4M",0,3.53409099578857,88
Bollywood Game,10000,"9,9M",0,4.03960418701172,303
Rising Empires Premium,500,"2,6M",2.79,4.23015880584717,126
Logik Spielplatz 2 für Kinder,5000,17M,0,3.65625,32
Rental Property Manager Lite,10000,"2,0M",0,3.90000009536743,60
"Jakarta, Indonesia -FREE Guide",10000,19M,0,4.43529415130615,85
,1000,"5,4M",0,4.38461542129517,39
Fuchs und Hase,5000,"2,0M",0,3.94594597816467,37
DRAGONS,10000,"2,4M",0,3.63291144371033,79
e300 ?????????? ???????,1000,"7,9M",0,4.69999980926514,40
SMS POPUP + FLASH,5000,763k,0,3.93421053886414,76
Minutes Text Notes Pro + Sync,100,"4,0M",1.55,4.52830171585083,53
HEDGEHOG,5000,"1,9M",0,4.48648643493652,37
?????,5000,47M,0,3.98113203048706,53
Moe Puzzle5,5000,19M,0,4.25316476821899,79
Buzzle - Kids Puzzle App,5000,42M,0,4.38636350631714,44
Color Blaster FREE,10000,18M,0,3.5409836769104,61
?????????? ??? ?????,1000,471k,0,4.64705896377564,34
Bingo Battle,5000,"4,2M",0,3.59701490402222,67
Catch Me Online,5000,26M,0,4.2951807975769,332
Lights On!,10000,29k,0,3.40277767181396,72
Zen Breath Meditation Pro,100,765k,1.18,3.81818175315857,11
ZAHLEN,10000,"2,8M",0,3.35714292526245,28
Switcher Game,1000,166k,0,3.64285707473755,30
Samurai Sudoku Multiboard lite,1000,11M,0,2.86363625526428,22
SEGELBOOTE,5000,"1,9M",0,3.85714292526245,21
CRAZY MUSIK,5000,"2,2M",0,3.68181824684143,22
VIVATaxistars,500,"4,6M",0,3.97435903549194,39
Are You Psychic? ?Full Game,100,"4,5M",0.77,4.379310131073,29
Panama - Free Travel Guide,1000,26M,0,4.1538462638855,13
MOUSE AND FRIENDS,5000,"1,7M",0,3.28571438789368,14
BEAR,5000,"2,2M",0,3.72000002861023,25
MySafeApp Pro,500,"2,2M",1.21,3.61538457870483,13
Simple Life,500,625k,0,4.81666660308838,60
Logik Spielplatz für Kinder,100,16M,2.69,3.40000009536743,5
SQUIRREL,5000,"1,6M",0,3.75999999046326,25
Hummer Puzzle,1000,11M,0,4.0357141494751,28
10 Finger,500,27M,1.79,2.8461537361145,13
Wählen Sie die Sprache,500,156k,4.52,2.5,8
Algebra Pro,500,"1,5M",0.74,3.66666674613953,3
Roma: guía y mapa (GRATIS),1000,45M,0,4,8
????? ????? ?????????,1000,"2,7M",0,4,4
Lights Off,1000,635k,0,3.5,10
Free TeddyBears Versus Puppies,1000,"4,2M",0,3.67857146263123,28
CHRISTMAS2012,1000,"2,8M",0,5,4
Newburyport Five MobileBanking,500,"7,8M",0,4.74193525314331,31
FANTASY,1000,"2,2M",0,3.5,6
Treasure Blocks Mania,100,19M,0,4.25,8
Bonga,1000,53k,0,3.83333325386047,6
Rocky Mountain NP - FREE Guide,1000,22M,0,5,5
smallQWERTY (for MQ-1000B),10000,"2,5M",0,3.2910053730011,383
smallQWERTY,1000,304k,0,3.79999995231628,35
BUNTE FROGS,1000,"2,4M",0,3.54545450210571,11
Christmas Puzzle,1000,"8,5M",0,4.2857141494751,14
Kartlar? E?le?tir (Haf?za),1000,11M,0,4.1904764175415,21
Zwerge,1000,"2,0M",0,3,5
Painting Puzzle,1000,"5,3M",0,4.19999980926514,10
Pixler - Nonogram Puzzle,100,172k,0.97,3.375,8
Segnapunti PingPong,500,505k,0,4.53846168518066,13
Track Guide,10,1.013k,3.82,0,0
Shot@Life,500,"7,2M",0,4.40000009536743,5
PencilBot Feed Me! US Englisch,500,37M,0,5,3
Ardèche Mobile,1000,529k,0,2.88888883590698,9
Great Smoky Mntns - FREE Guide,1000,81M,0,3,3
Weird News,1000,145k,0,1.73333334922791,30
HALLOWEENART,1000,"1,7M",0,3.40000009536743,5
Beeren und Früchte HD Wallpape,100,"1,3M",0,1.33333337306976,3
Prompt Me Nina,1000,"2,3M",0,4.02564096450806,39
Afrikanische Masken,1000,"2,5M",0,4.75,4
Hima the Explorer - 2baby,500,28M,0,4.14285707473755,7
Heart attack Fast Help,100,262k,0,4.76470565795898,17
smallQWERTY Trial,1000,244k,0,3.66666674613953,6
LinuxTag2014 Indoor-Navigation,100,832k,0,4,16
HEAT,1000,"2,4M",0,4.75,4
Hameleons (invertcukuru ),500,"4,3M",0,4,9
FaceRange,500,378k,0,5,7
Big Fat Goalie,10,"9,8M",0.99,5,1
RUSSISCHE Masleniza,1000,"2,1M",0,5,1
Glisser Lite,100,921k,0,5,8
Dollart,500,"2,2M",0,5,4
Color Blaster Game,50,16M,0.69,3.5,2
Panama Travel Guide,100,26M,3.82,5,1
Great Smoky Mountains Guide,50,81M,3.9,5,1
Negative Flux 3D,5000,"6,8M",0,2,28
stressfrei in 5 Minuten,10,14M,1.4,1,1
"Turin, Piedmont &amp; Aosta - FREE",500,58M,0,4,3
Zoo Book,100,10M,0,5,1
HonzaChess based on SPL,100,278k,0,5,4
Bizar Nieuws,100,"4,0M",0,5,1
ACX Express,100,"3,2M",0,5,2
ISC PARIS,100,45M,0,0,0
"Turin, Piedmont &amp; Aosta Valley",10,58M,3.89,5,1
PM2.5?????,100,325k,0,4.5,2
Androiden,1000,"1,8M",0,3.66666674613953,3
Randimal,500,25k,0,4.75,4
?? WEKI,500,"4,0M",0,0,0
AP Subtraction Game,100,"2,7M",0,4.7142858505249,7
Samurai Sudoku Multiboard lt 2,100,11M,0,4,2
Google???????????????????????,5,"9,6M",9.86,0,0
Photoshop Secrets Revealed,50,326k,2.18,0,0
Rechentrick,50,50k,0,3.75,4
AP Addition Game,50,"2,7M",0,4.40000009536743,5
Numzzle,50,"5,7M",0,5,2
????????????????,10,"3,2M",1.56,0,0
Swift Math Practice Flashcards,100,732k,0,5,2
Look Away Now,10,795k,1.25,4.66666650772095,3
"????????? ??? ?????…,?.???????",100,"4,6M",0,5,9
GridGame,10,,0.99,0,0
ArmAware,10,315k,0.69,3,4
Grade 5 !!!,0,"2,2M",15.17,0,0
Einrohrheizung,5,522k,0.99,0,0
Pandemic Pathfinder,500,"1,5M",0,3.66666674613953,3
SHOP FREE PHONE,500,214k,0,3.33333325386047,3
Urologidagarna2012,50,"1,2M",0,3,2
Galaxy Image Puzzle,100,"3,1M",0,4.75,4
Lake Church,10,"5,5M",0,0,0
DFLights,10,282k,0,4,4
QuickHousing Van B.C. - Free,100,49k,0,0,0
Apartments FREE,100,189k,0,5,1
Burma (Myanmar) - Travel Guide,5,95M,3.65,5,1
Puzzle Light,100,"1,0M",0,4,3
Casllwchwr Primary School,100,631k,0,3,2
???????,100,11M,0,2.33333325386047,3
ICAS 2013 Convention,100,"7,4M",0,5,1
C.I.A SOLUTIONS,100,"5,6M",0,5,2
Conference App,100,"2,6M",0,4.19999980926514,5
Look Away Now (Free),500,795k,0,4,1
Dilute,100,360k,0,4.33333349227905,3
?? ??? ????,500,"3,0M",0,4.5,2
???Style,500,230k,0,3,3
Libera Tu Cel Ya!,5000,632k,0,4.18918895721436,74
Check Je Rendement,100,"6,8M",0,4,4
NEW2012YEAR,500,"2,6M",0,3,2
Ultimate Card Counting Trainer,100,"2,2M",0,5,3
Quick Uninstaller,100,"2,0M",0,3.79999995231628,5
OSTERN und Fabergé,1000,"2,1M",0,3.71428561210632,7
"Jakarta, Indonesia - Guide",10,19M,3.86,5,1
Trains Theme,50,"2,5M",0.78,5,1
Hip Hop Ringtones Download,1000,455k,0,3.66666674613953,3
Roma: guía y mapa,10,45M,3.82,5,3
Towers Brainiak,1000,"1,6M",0,3.94736838340759,19
U Stick Remote Controller(URC),500,"5,5M",0,4.19999980926514,5
Fast 4 Words,1000,16M,0,4.2033896446228,59
Samurai Sudoku (Multi Board),50,11M,0.67,0,0
Ad Removal [thereisonlywe],10,293k,2,5,3
Calendar Me India 2014,1000,512k,0,3.76923084259033,13
Wonder Play Learn,1000,"3,5M",0,4,4
Isometric Wars,1000,42M,0,4.05357122421265,56
Google???????????????????????L,1000,"8,8M",0,5,1
TOGETHER,1000,"2,1M",0,3.90000009536743,10
Burma (Myanmar) - FREE Guide,500,95M,0,4.875,16
Medical Image Puzzle,1000,"1,9M",0,3.7619047164917,21
Minutes Text Notes + Sync,1000,"3,7M",0,4.05555534362793,90
Puzzle Messenger,1000,"1,4M",0,4.15999984741211,25
Memory Afrika Safari,1000,"2,9M",0,3.68421053886414,19
Simple TetraVex,1000,"2,2M",0,4.02500009536743,40
Mobile Housie - Free,5000,"9,4M",0,4.02500009536743,80
OSTERN,5000,"2,3M",0,3.61111116409302,18
Birdies,1000,"1,8M",0,4.25,8
Luxury Home Deko-Ideen,500,"2,3M",0,3.37037038803101,27
Zolaman Robot Gunz HD,10000,29M,0,3.84191179275513,272
Smart Card Holder,1000,312k,0,4.20689678192139,29
GridGame Free,10000,,0,3.7802197933197,91
G4A: Table Top Cribbage,1000,"7,1M",0,3.63636374473572,44
????,5000,"1,3M",0,4.19999980926514,15
?????,50,"1,8M",0,3,1
PharmaGuide  Pakistan,10000,"1,3M",0,3.83620691299438,464
First Class Flight Attendant,100,460k,2.31,4.83333349227905,6
ChessPad,5000,109k,0,3.2173912525177,46
AndroSensor,500000,,0,4.46974802017212,5042
TuneIn Radio,50000000,,0,4.37259006500244,767570
Video Collage,100,"4,0M",0.77,3.5,20
Kalam-e-Iqbal Collection,1000,"2,3M",0,4.375,24
???????10?????????????,50,"4,8M",0.71,5,8
Russian Dutch Dictionary,10,"4,4M",2.27,4.5,2
Mistakes at Networking Events,0,16M,0,0,0
9mm,100000,"1,3M",5.99,3.97150254249573,5018
Sudoku,1000000,"2,2M",0,4.14855718612671,6341
Nails Salon Marketing,0,814k,0,0,0
Bumble Bees Soft Play,1,"5,8M",0,0,0
TringShare,5,27M,0,5,2
Math Machine,5,19M,2.33,0,0
MP3 Blade,500,94k,0.54,2.70833325386047,24
Francais-Russe offline,1000,"2,9M",0,4.33333349227905,6
Marble Blast Crusher,50000,21M,0,4.12828207015991,1333
SudokuGame,10000,"1,7M",0,3.98677253723145,378
fünfzehn Gebete,5000,"2,8M",0,4.54794502258301,146
TouhouCirnoAlarm,1000,"9,4M",6,4.79166650772095,120
Akbar-Birbal Tales,10000,"2,2M",0,4.13922357559204,747
Navaratri Navarang,1000,"3,3M",0,3.92307686805725,13
Kinder Puzzlespiele,10000,48M,0,3.73885345458984,157
2014 ??????? ???? SNS-OBTI,5000,"9,7M",0,4.58194780349731,421
??? ????,1000,17M,0,4,41
?????????????????????,10000,"2,1M",0,3.45161294937134,31
??????? ? ????,1000,192k,0,4.09677410125732,31
Og Mandino Scrolls,1000,"1,5M",0,4.47499990463257,40
Cyberchase 3D Builder,100,106M,0.73,3.40000009536743,5
Pussy Puzzle,1000,"6,7M",0,3.73913049697876,23
League of Devils,10000,50M,0,4.24535322189331,1076
Maze Race,10000,"1,1M",0,3.18181824684143,33
,1000,268k,0,3.94444441795349,18
?????,1000,"1,9M",0,3.33333325386047,3
8 Colors Blocks,100,"1,9M",0,4.86666679382324,15
???? Speak Out_TAB??,100,"2,1M",0.69,0,0
Ankara Do?a Radyo Sizlerle,1000,262k,0,3.59999990463257,5
?????????????????????????(???),1000,"5,7M",0,0,0
Th??ng hôn (quá hay ),1000,594k,0,4.09999990463257,10
Clock??? for iida Home,1000,178k,0,3.63636374473572,11
Baby Cat Puzzle,1000,"1,6M",0,4.29411745071411,17
Twitter Trends Arabia,1000,591k,0,3.76470589637756,17
??ng bao gi? t? b? khát v?ng,1000,"1,0M",0,4.11999988555908,25
IWAN FALS - SWAMI (1989),500,22M,0,3.70000004768372,10
NXT Robotic Arm,1000,337k,0,4.40000009536743,35
KIDSO - Touch Sound - Free,1000,"9,9M",0,3.33333325386047,6
"????-A5(?? ??,????+NIV+???)",500,"5,2M",6.37,4,9
??? ????,100,36M,1.07,3.125,8
2014  beste  kostenlos  SUDOKU,500,"2,6M",0,4.79166650772095,24
Feria del Libro,500,"9,7M",0,3.94736838340759,19
Komik Esnaf Yalanlar?,1000,892k,0,3.9375,48
Ö?renci Bahaneleri Yalanlar?,5000,721k,0,3.75384616851807,65
French Turkish Dictionary,10,"3,5M",2.21,5,1
Spanisch Deutsch Wörterbuch,10,"3,5M",2.21,1,1
English Spanish Dictionary,10,"3,5M",2.29,0,0
Manevi Çetele (Amel Defteri),500,685k,0,4.61290311813355,31
Black and Blue Theme Chooser,500,"10,0M",0.87,4.23999977111816,25
TOZAISEN PHOTO SEE THE LIGHT,1000,47M,0,4.81818199157715,11
Purple Honeycomb Theme Chooser,100,10M,0.87,4.5,8
Y?ll?k Namaz Vakti - Dünya,5000,"3,9M",0,3.98360657691956,61
Math Me Lite,10000,"1,5M",0,3.84848475456238,33
????????????????????????????,500,140k,17.53,3,14
Lullaby???????????,5000,"9,0M",0,3.95454549789429,22
"????, ????????!",0,"9,3M",0.5,0,0
Animal Sounds For Babies No Ad,10,"3,8M",0.76,1,1
???? Speak Out,500,"1,9M",0.69,4,3
RS Aditya Modak - Demo,100,"1,4M",0,3.5,2
Lapland Interactive Game,1,"1,8M",0,0,0
BallGoDown,10,"8,6M",0,5,1
RS Rachana Bodas -Demo,10,"1,4M",0,0,0
Baby Toy Room Lite,100,18M,0,5,1
Yognidra,5,979k,1.2,0,0
Full Screen Pic PRO,500,"6,3M",2.49,4.33333349227905,18
,5,273k,2.2,0,0
????????,100,838k,0,4,2
?????? Colors Push?,100,"1,4M",0,5,2
Tranquility,100,"1,3M",0,1.33333337306976,3
???(9-10),50,52M,0,5,3
,10,271k,1.5,0,0
Medical Assistants Books,100,"1,8M",0,0,0
Engelbrektsskolan,100,472k,0,4.33333349227905,3
Venezuela Radio,500,"2,5M",0,2.40000009536743,5
TouchMath T/C Patterns Pro,1,48M,3.1,0,0
Painting Cats Puzzle,500,"3,2M",0,3.42857146263123,7
,10,271k,1.5,0,0
?? ??? ? ?? ?????1,100,33M,1.5,3,3
Catheter Partners,10,"5,9M",0,0,0
,1,264k,1.5,0,0
orgarhythm???????3,1,562M,6.75,0,0
,1,248k,1.5,0,0
,1,266k,1.5,0,0
???? ??????,1,258k,0.71,0,0
,10,261k,3,3,2
???????,1,181k,0.72,0,0
,1,255k,3.84,0,0
,1,270k,1.6,0,0
,1,264k,3.1,0,0
My103.9,50,621k,0,0,0
,1,273k,1.5,0,0
SNL Realty Group,10,"4,5M",0,0,0
Matemáticas Interactivas 9,0,13M,8.88,0,0
,1,251k,0.7,0,0
,1,269k,2.3,0,0
RSUDOKU,10,440k,0,5,4
,1,259k,1.5,0,0
New Windows 9 Theme Official,50,"6,6M",0,5,1
,1,276k,3,0,0
,0,273k,1.5,0,0
YUBISASHI Français?Chine,1,131k,6.75,0,0
,1,276k,1.5,0,0
The Refuge Mobile App,50,"6,9M",0,4,1
,1,271k,0.7,0,0
kids  multiplication,100,"1,3M",0,0,0
Kids Puzzler,10,22M,0,5,1
,1,252k,1.5,0,0
,5,261k,2.3,0,0
,50,594k,7.3,3,3
,10,249k,3.1,0,0
Master Sudoku,500,916k,0,4.66666650772095,6
,5,273k,0.7,0,0
,50,277k,3.84,2.5,2
,10,255k,3.84,0,0
Halloween Clock Widget,50,696k,1.43,5,2
Saarroop Dasbodh,10,"1,0M",2.98,0,0
Malgastador de 3g,100,55k,0,2.66666674613953,3
yBa World Funniest Pictures,10,16M,0,5,1
KIDSO - Touch Sound,5,"9,8M",2.3,0,0
Kickass Kicks Vol 1,10,24M,1.82,5,1
Piyano Dinle Keman Dinle Müzik,100,12M,0,4.125,8
Australian Radio,100,"2,0M",0,3.66666674613953,3
Wa Bible,10,"2,4M",0,0,0
?????? ?4?????????????,50,111k,37.12,1,1
Racing Boats,1000,"1,6M",0,2.40000009536743,10
Quran,50,"3,9M",0,4.875,8
Dog Cat Puzzle,10000,"1,0M",0,4.14583349227905,96
Marble Blast Crush 2,10000,22M,0,4.15860748291016,517
Wir ? Musik MP3-Player,100000,"5,8M",0,3.79582715034485,671
MOJO 102.9,100,"2,5M",0,0,0
Full Screen Pic Picture Viewer,10000,"6,3M",0,3.91849541664124,319
OH58D Flashcard Study Guide,10,"5,3M",10.24,4,2
????????? ????,5000,15M,2.08,3.53846144676208,91
??????,500000,"5,5M",0,3.9119565486908,920
Pistol Simulator,500000,"1,5M",0,3.44921517372131,2166
"Biblija (SDF), Croatian",5000,"1,8M",0,4.57983207702637,119
Gems Maze,50000,"3,8M",0,3.7947154045105,984
,500,"1,7M",0,3.375,8
?? ????????????????,1000,149k,7.29,3,26
Daimokuhyo,100,"4,2M",0.72,3.75,4
???? Pet Cuisine,1000,"9,6M",0,4.72413778305054,58
Spot! Finde Die Unterschiede,10000,21M,0,3.90000009536743,101
My Reminders,100,"2,5M",0,5,2
Taschenlampe Kohle Gratis,1000,"1,3M",0,3.80952382087708,21
Aires Campingcar-infos,5000,"6,2M",0,4.15094327926636,106
CH47F Chinook Flashcards Study,100,10M,10.23,3,1
Galgenmannchen (deutch),10000,813k,0,3.44520545005798,146
Régi Háziállatok - Okos Baba,10000,"1,8M",0,4.16666650772095,48
"Biblija (Šari?), Croatian",10000,"1,8M",0,4.61395359039307,215
Banda Aliados,1000,26M,0,4.80303049087524,66
CRADIOGT,1000,"2,1M",0,4.01265811920166,79
Keerthanas (Annamayya),10000,"1,1M",0,4.37857151031494,140
Mongolia,5000,11M,0,3.4880952835083,84
????????????????? 18+,100,"2,1M",0,4.5,14
Orange Mood Wallpaper,100,"2,1M",0,4.5,4
Kid Connect the Dots ABC Lite,10000,"9,0M",0,4.03333330154419,120
French Turkish Dictionary Free,10000,"4,4M",0,3.94321775436401,317
Card Battle Free,500,"1,9M",0,2.66666674613953,3
MyPiacenza - Guida Offline,100,34M,0,4,5
Französisch Sätze,1000,162k,0,2.71428561210632,7
Eureka! Quiz Game,100000,"2,9M",0,4.21289682388306,9925
Yuya,10000,"2,9M",0,4.40100240707397,399
yCalc,10,"9,1M",0,5,8
Rang Rangili Shehnai - Demo,100,"1,4M",0,5,1
Zombie Storm:Bullet Apocalypse,5000,21M,0,3.91578936576843,95
Rudra Abhishek,10,954k,1.79,0,0
Alpha Gun,50000,52M,0,3.67513370513916,748
Überraschung Krieg,50000,25M,0,3.53454542160034,550
Hide Private SMS,500,"2,2M",0,4.39285707473755,28
???? ????? ? ?????,1000,126k,0,3.46666669845581,15
Kontakte +,5000000,,0,4.21612882614136,114833
AndroSensor SMS Remote,500,22k,0,4.44444465637207,18
Telegram,10000000,"9,6M",0,4.11828851699829,804701
Timely - Wecker,5000000,10M,0,4.37559127807617,158502
???? ??,50000,"3,0M",0,3.88597631454468,763
Französisch Zöpfe Tutorial,10000,"2,1M",0,3.07142853736877,196
ANGRY BOTS 9MB PREMIUM,100,22M,0.99,3,4
TripAdvisor,50000000,,0,4.45922231674194,516344
Spanisch Deutsch Wörterbuch Fr,1000,"4,4M",0,3.73333334922791,15
Russian Dutch Dictionary Free,1000,"4,4M",0,3.25,16
Aqarya,50,14M,0,5,2
Runaway Robot,50,503k,0,5,1
"???? ????? ? ?????, ?????.",100,86k,0.74,3.85714292526245,7
Mini Rally Rennen,10000,"1,8M",0,3.35483860969543,155
??????,1000,14M,0,4.61538457870483,26
Speech Board - Bryce,50,"2,5M",0,5,2
Quang Cao Tiem Nails,0,810k,0,0,0
Best 35 Body Building Tips,10,215k,0,0,0
Speed u200bu200bRacing Cars,10000,"2,5M",0,3.26011562347412,173
Doublemill 2 - Mühle,100000,"3,0M",0,4.01490592956543,4629
Valladolid Bus Pucela Mini,1000,"1,5M",0,4.72093009948731,43
ABC Plus (Deutsch),10000,35M,0,3.48663091659546,187
Jinghpaw Bible,1000,"2,4M",0,4.56666660308838,30
NRA Gun Guide,5000,20M,2.32,3.13375806808472,157
Pistols,50000,"4,2M",0,3.8049852848053,682
Assault Weapon Gun Shots,100000,"3,1M",0,3.88149976730347,2827
Artillery Sounds,5000,"5,5M",0,3.79245281219482,53
PaperChibi,500,33M,2.29,4.38333320617676,60
???? ???? ?????,1000,46M,0,4.05357122421265,56
Cool Music-Player,500,"3,5M",0,4.42857122421265,28
Stargazing Log,10000,151k,0,3.78651690483093,89
Shot Timer PRO,1000,526k,7.99,4.17543840408325,228
Galaxy S4 Dirty Tricks,10000,"6,9M",0,3.59770107269287,87
