name,datePublished,numDownloadsMin,fileSize,packageName,price,aggregateRating,softwareVersion,ratingCount,dateCrawled,url
Boy Scout Troop 263,25. Februar 2014,50,"1,0M",org.troop263,0,0,2.1,0,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=org.troop263
xDonate 1x,24. Juni 2013,10,163k,com.joaomgcd.donate1,1,5,1,4,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.joaomgcd.donate1
????????????,,1000000,21M,jp.co.beeworks.funghiGardeningKitKoZh,0,4.40116405487061,1.0.5,28866,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=jp.co.beeworks.funghiGardeningKitKoZh
Matching With Friends,21. August 2014,1000000,21M,com.zynga.matching,0,4.34149074554443,5.22,42619,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.zynga.matching
Bingo by IGG: Top Bingo+Slots!,3. September 2014,1000000,21M,com.igg.bzbee.bingobyigg,0,4.65110969543457,1.4.1,95798,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.igg.bzbee.bingobyigg
Candy Camera - Selfie Selfies,18. September 2014,10000000,21M,com.joeware.android.gpulumera,0,4.29395961761475,1.47,535257,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.joeware.android.gpulumera
Cut the Rope FULL FREE,22. September 2014,50000000,,com.zeptolab.ctr.ads,0,4.31186962127686,,957377,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.zeptolab.ctr.ads
Make Your Clock Widget,12. September 2014,1000000,"2,8M",net.hubalek.android.makeyourclock,0,4.20411205291748,1.1.5,9441,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=net.hubalek.android.makeyourclock
Japanisch lernen,4. September 2014,500000,12M,com.bravolang.japanese,0,4.40907907485962,7.3.1,22932,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.bravolang.japanese
Life is Crime,13. November 2013,1000000,21M,com.redrobotlabs.lifeiscrime,0,4.32269382476807,1.8.5.0,48468,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.redrobotlabs.lifeiscrime
Laudate  Nr. 1 katholische App,28. August 2014,500000,21M,com.aycka.apps.MassReadings,0,4.71656847000122,2.02,15971,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.aycka.apps.MassReadings
Naver Global Phrase-??? ?????,30. Mai 2014,1000000,21M,com.nhn.android.phrasebook,0,4.48252487182617,1.2.6,7811,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.nhn.android.phrasebook
T? ?i?n Anh Vi?t - Vlook,27. Juni 2013,500000,21M,bloghoctap.android.tudienanhviet,0,4.43758773803711,1.6,5688,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=bloghoctap.android.tudienanhviet
QQ International,24. September 2014,1000000,21M,com.tencent.mobileqqi,0,4.07534122467041,5.0.10,20427,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.tencent.mobileqqi
Flipkart,27. September 2014,5000000,"5,3M",com.flipkart.android,0,4.28074359893799,3,327687,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.flipkart.android
"????? (?, ???, ????, ?????)",2. September 2013,1000000,21M,com.day.daynews,0,3.96958255767822,3.2,8745,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.day.daynews
5by,6. August 2014,50000,"6,3M",com.fiveby.jupiter,0,4.12611675262451,1.3.0,4813,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.fiveby.jupiter
Periodic Droid - No Ads,11. Juni 2014,50,783k,la.droid.periodic.paid,0.72,4.2857141494751,2.3,7,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=la.droid.periodic.paid
AUTOIST DIARY - CAR &amp; BIKE,5. Februar 2014,1000,"5,1M",com.curioussolutions.autoistdiary,0,4.12765979766846,4.0.4,47,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.curioussolutions.autoistdiary
?????????. ?????,25. August 2011,50000,"5,7M",com.BlockHeadSmesh,0,3.69390249252319,1.2,820,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=com.BlockHeadSmesh
Faso Pharmacies,1. Mai 2014,10000,956k,name.ytsamy.android.pharmacies,0,4.43457937240601,0.3.3,214,2014-10-05 00:00:00,https://play.google.com/store/apps/details?id=name.ytsamy.android.pharmacies
